Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BAJAUTOFIN,EQ,03 01 2000,46.95,49.45,50.75,46.5,50.75,50.75,50.05,7600,380380,, , 
BAJAUTOFIN,EQ,04 01 2000,50.75,53.2,53.2,47.9,48,48.1,48.56,5000,242800,, , 
BAJAUTOFIN,EQ,05 01 2000,48.1,46.55,47.4,44.6,44.6,44.6,45.47,3500,159145,, , 
BAJAUTOFIN,EQ,06 01 2000,44.6,43.5,46,42.1,46,45.25,44.43,6200,275475,, , 
BAJAUTOFIN,EQ,07 01 2000,45.25,48,48,42,42.9,42.9,44.44,3500,155555,, , 
BAJAUTOFIN,EQ,10 01 2000,42.9,42.05,44.9,41,43,42.9,42.47,4700,199610,, , 
BAJAUTOFIN,EQ,11 01 2000,42.9,42,42,39.5,40.25,40.1,40.25,5500,221390,, , 
BAJAUTOFIN,EQ,12 01 2000,40.1,40,40,39,39,39,39.8,1000,39800,, , 
BAJAUTOFIN,EQ,13 01 2000,39,40,41,38.5,39.5,39.5,39.37,1000,39370,, , 
BAJAUTOFIN,EQ,14 01 2000,39.5,39,40.5,39,39.9,39.9,39.72,1700,67520,, , 
BAJAUTOFIN,EQ,17 01 2000,39.9,39.05,41,38.4,39.2,39.2,39.84,3100,123495,, , 
BAJAUTOFIN,EQ,18 01 2000,39.2,39.5,40,38.05,38.3,38.3,39.2,3000,117610,, , 
BAJAUTOFIN,EQ,19 01 2000,38.3,40.9,41.4,39.25,41.4,41.4,40.57,4500,182580,, , 
BAJAUTOFIN,EQ,20 01 2000,41.4,42,44.5,42,43,43,43.68,6400,279555,, , 
BAJAUTOFIN,EQ,21 01 2000,43,46.4,46.4,42,42.95,42.95,42.63,3100,132150,, , 
BAJAUTOFIN,EQ,24 01 2000,42.95,42.5,43,40.05,40.05,40.05,41.3,3100,128020,, , 
BAJAUTOFIN,EQ,25 01 2000,40.05,39.2,40,36.85,38.6,37.7,38.41,6400,245845,, , 
BAJAUTOFIN,EQ,27 01 2000,37.7,38.9,40.7,37.55,39,39,39.38,7600,299260,, , 
BAJAUTOFIN,EQ,28 01 2000,39,40,40,38.05,38.15,38.65,38.55,3700,142635,, , 
BAJAUTOFIN,EQ,31 01 2000,38.65,38,38,37,37,37.05,37.25,3500,130390,, , 
BAJAUTOFIN,EQ,01 02 2000,37.05,37,38.4,36,36,36.05,36.71,6300,231270,, , 
BAJAUTOFIN,EQ,02 02 2000,36.05,35,37.75,35,37.7,37.7,36.01,4000,144045,, , 
BAJAUTOFIN,EQ,03 02 2000,37.7,37.9,40,36.55,37.2,37.2,37.66,4800,180770,, , 
BAJAUTOFIN,EQ,04 02 2000,37.2,37.8,38.35,37.1,38.35,37.95,37.69,3000,113070,, , 
BAJAUTOFIN,EQ,07 02 2000,37.95,37.35,40.2,37.35,38.25,38.75,39.09,5400,211085,, , 
BAJAUTOFIN,EQ,08 02 2000,38.75,39.9,41.7,38,39.5,38.7,38.48,5100,196240,, , 
BAJAUTOFIN,EQ,09 02 2000,38.7,41.6,41.8,40.9,41.8,41.8,41.67,7100,295840,, , 
BAJAUTOFIN,EQ,10 02 2000,41.8,45.15,45.15,42.65,45.15,45.15,43.91,13200,579565,, , 
BAJAUTOFIN,EQ,11 02 2000,45.15,48.8,48.8,48,48.8,48.8,48.73,10700,521385,, , 
BAJAUTOFIN,EQ,14 02 2000,48.8,50.75,50.75,44.9,44.9,44.9,47.09,4800,226015,, , 
BAJAUTOFIN,EQ,15 02 2000,44.9,42.05,43,41.35,41.35,41.35,41.69,6200,258480,, , 
BAJAUTOFIN,EQ,16 02 2000,41.35,38.3,41.5,38.3,39.95,39.7,40.54,6000,243265,, , 
BAJAUTOFIN,EQ,17 02 2000,39.7,38.7,42.8,38.7,41.7,41.4,40.69,4600,187195,, , 
BAJAUTOFIN,EQ,18 02 2000,41.4,40,41.85,39.5,41,40.8,40.5,4200,170100,, , 
BAJAUTOFIN,EQ,21 02 2000,40.8,39,41.5,38.1,39.5,40,39.67,7300,289600,, , 
BAJAUTOFIN,EQ,22 02 2000,40,40.1,41,38.15,38.15,38.2,39.31,9500,373415,, , 
BAJAUTOFIN,EQ,23 02 2000,38.2,40,41.25,38.45,40.25,40.2,40.18,5900,237070,, , 
